,B00300S,B00305A,B00202A,B00702A,B00703A,B00802A,B00714A,B00910A
2022-01-01 00:00:00,"9,5","9,21",234,"6,6","5,5",93,,
2022-01-01 00:10:00,"9,4","9,05",232,"6,2","6,8",93,,
2022-01-01 00:20:00,"9,2","8,93",227,"5,7","5,6",94,,
2022-01-01 00:30:00,"9,2","8,97",223,"5,5","7,3",95,,
2022-01-01 00:40:00,"9,1","9,05",225,"5,1","6,3",95,,
2022-01-01 00:50:00,"9,1","9,07",230,5,6,96,,
2022-01-01 01:00:00,"9,2","8,97",232,"5,7",8,96,,
2022-01-01 01:10:00,"9,3","8,93",227,6,"5,9",96,,
2022-01-01 01:20:00,"9,2","8,9",224,"5,1",7,95,,
2022-01-01 01:30:00,"9,2","8,89",228,"4,9","7,4",96,,
2022-01-01 01:40:00,"9,3","8,86",231,"5,2","6,7",96,,
2022-01-01 01:50:00,"9,4","8,89",240,"5,9","5,7",95,,
2022-01-01 02:00:00,"9,6","9,01",243,"6,1",0,95,,
2022-01-01 02:10:00,"9,6","9,02",241,"5,7","5,8",95,,
2022-01-01 02:20:00,"9,5","9,03",238,"5,4","5,5",95,,
2022-01-01 02:30:00,"9,6","8,97",240,6,"5,5",95,,
2022-01-01 02:40:00,"9,7","9,03",238,"5,6","4,9",96,,
2022-01-01 02:50:00,"9,7","9,04",236,"5,7","4,6",96,,
2022-01-01 03:00:00,"9,7",9,238,"5,6","4,7",96,,
2022-01-01 03:10:00,"9,6","9,1",232,"4,9","7,4",95,,
2022-01-01 03:20:00,"9,3","9,04",219,"4,3","6,1",96,,
2022-01-01 03:30:00,"9,3","8,96",225,"4,5","5,9",96,,
2022-01-01 03:40:00,"9,6","9,11",237,"5,3","5,3",97,,
2022-01-01 03:50:00,"9,9","9,17",244,"6,3","6,3",96,,
2022-01-01 04:00:00,"10,1","9,24",245,"6,2","4,8",96,,
2022-01-01 04:10:00,"10,1","9,29",241,"5,8","4,6",95,,
2022-01-01 04:20:00,10,"9,27",237,"5,5","4,1",95,,
2022-01-01 04:30:00,10,"9,18",235,"5,9","2,9",95,,
2022-01-01 04:40:00,"9,9","9,26",231,"5,5",5,95,,
2022-01-01 04:50:00,"9,7","9,34",218,"4,6","4,9",96,,
2022-01-01 05:00:00,"9,5","9,36",214,"5,4","5,3",96,,
2022-01-01 05:10:00,"9,6","9,44",223,"5,4","6,8",97,,
2022-01-01 05:20:00,"9,7","9,46",234,5,"5,3",97,,
2022-01-01 05:30:00,"9,8","9,41",235,"5,1","5,4",97,,
2022-01-01 05:40:00,10,"9,36",243,"5,9","5,8",97,,
2022-01-01 05:50:00,"10,1","9,42",246,"6,3","5,8",96,,
2022-01-01 06:00:00,"10,2","9,53",240,6,"5,7",96,,
2022-01-01 06:10:00,"9,9","9,28",230,"5,3","4,5",95,,
2022-01-01 06:20:00,"9,6","9,33",215,"5,5","5,7",96,,
2022-01-01 06:30:00,"9,5","9,47",218,"5,6","6,1",96,,
2022-01-01 06:40:00,"9,4","9,27",221,"5,7","4,6",97,,
2022-01-01 06:50:00,"9,5","9,2",221,"5,8","6,5",97,,
2022-01-01 07:00:00,"9,6","9,23",227,5,"6,3",97,,
2022-01-01 07:10:00,"9,5","9,29",228,"4,5","6,3",97,,
2022-01-01 07:20:00,"9,4","9,27",221,"4,6","5,8",97,,
2022-01-01 07:30:00,"9,8","9,25",233,"5,6","5,8",97,,
2022-01-01 07:40:00,10,"9,29",234,"6,1","5,7",96,,
2022-01-01 07:50:00,"10,1","9,35",242,"6,3","6,1",95,,
2022-01-01 08:00:00,10,"9,5",235,"5,7","6,1",95,,
2022-01-01 08:10:00,"9,6","9,45",219,"5,1","6,4",96,,
2022-01-01 08:20:00,"9,5","9,37",221,"5,5","4,3",96,,
2022-01-01 08:30:00,"9,5","9,32",222,"5,6","6,2",96,,
2022-01-01 08:40:00,"9,5","9,45",220,"5,6","5,3",97,,
2022-01-01 08:50:00,"9,6","9,58",220,5,"4,1",97,,
2022-01-01 09:00:00,"9,7","9,63",221,"4,9","6,9",97,,
2022-01-01 09:10:00,"9,7","9,57",216,5,"6,2",97,,
2022-01-01 09:20:00,"9,7","9,93",220,"5,7","6,6",97,,
2022-01-01 09:30:00,"9,7","10,06",217,"5,6","5,6",97,,
2022-01-01 09:40:00,"9,7","9,84",217,"5,2","5,9",97,,
2022-01-01 09:50:00,"9,9","9,81",230,5,"5,3",97,,
2022-01-01 10:00:00,"10,3","9,8",253,"6,4","5,9",97,,
2022-01-01 10:10:00,"10,4","9,87",254,"5,9","3,9",95,,
2022-01-01 10:20:00,"10,5","9,8",248,"6,3",5,94,,
2022-01-01 10:30:00,"10,5","9,93",243,"6,3","5,2",93,,
2022-01-01 10:40:00,"10,5","9,82",242,"6,3","4,2",93,,
2022-01-01 10:50:00,"10,5","9,79",239,"6,1","3,6",94,,
2022-01-01 11:00:00,"10,4","9,74",236,"6,2","3,5",95,,
2022-01-01 11:10:00,"10,5","9,86",244,"6,7",4,95,,
2022-01-01 11:20:00,"10,6","10,07",251,"6,9","6,5",94,,
2022-01-01 11:30:00,"10,6","10,3",256,"6,7","4,2",94,,
2022-01-01 11:40:00,"10,6","10,26",255,"6,3","4,8",93,,
2022-01-01 11:50:00,"10,7","10,24",257,"6,7",4,92,,
2022-01-01 12:00:00,"10,7","10,16",258,"6,5",5,91,,
2022-01-01 12:10:00,"10,9","10,15",262,"6,7","4,8",91,,
2022-01-01 12:20:00,"10,8","10,57",259,"6,8","4,5",92,,
2022-01-01 12:30:00,"10,9","10,88",256,"5,7","4,6",93,,
2022-01-01 12:40:00,"10,8","11,04",257,"5,9","4,9",92,,
2022-01-01 12:50:00,"10,7","10,98",254,"6,2","3,4",92,,
2022-01-01 13:00:00,"10,7","10,94",258,"6,1","4,8",92,,
2022-01-01 13:10:00,"10,8","10,74",260,"5,4","4,7",91,,
2022-01-01 13:20:00,"10,7","10,53",258,"5,4","4,2",91,,
2022-01-01 13:30:00,"10,5","10,24",255,"5,1","5,3",92,,
2022-01-01 13:40:00,"10,5","10,16",256,"5,1","3,3",92,,
2022-01-01 13:50:00,"10,5","10,08",250,"5,7","3,9",92,,
2022-01-01 14:00:00,"10,3","9,97",247,5,0,93,,
2022-01-01 14:10:00,"10,4","9,94",250,"5,6","4,1",93,,
2022-01-01 14:20:00,"10,4","9,86",255,"5,6","3,7",92,,
2022-01-01 14:30:00,"10,4","9,78",256,"5,2","3,8",92,,
2022-01-01 14:40:00,"10,4","9,76",257,"4,9","4,3",91,,
2022-01-01 14:50:00,"10,3","9,62",249,"5,1","3,9",91,,
2022-01-01 15:00:00,"10,1","9,54",252,"5,1","4,2",92,,
2022-01-01 15:10:00,"10,1","9,61",250,"5,5","5,5",93,,
2022-01-01 15:20:00,10,"9,55",250,"5,1","3,6",94,,
2022-01-01 15:30:00,"9,9","9,45",251,"5,4","4,5",94,,
2022-01-01 15:40:00,"9,9","9,42",250,"5,3","3,8",94,,
2022-01-01 15:50:00,10,"9,39",252,"5,6","3,2",93,,
2022-01-01 16:00:00,10,"9,35",253,"5,8","3,6",93,,
2022-01-01 16:10:00,"9,8","9,28",249,"4,1","3,3",94,,
2022-01-01 16:20:00,"9,8","9,21",245,"4,3","4,6",95,,
2022-01-01 16:30:00,"9,9","9,25",251,5,2,94,,
2022-01-01 16:40:00,"9,9","9,28",248,"4,5","2,9",94,,
2022-01-01 16:50:00,"9,8","9,29",252,"4,9","2,8",94,,
2022-01-01 17:00:00,"9,8","9,31",250,"5,2","3,3",94,,
2022-01-01 17:10:00,"9,8","9,1",248,"5,1",4,94,,
2022-01-01 17:20:00,"9,7","9,26",246,"4,9","3,9",94,,
2022-01-01 17:30:00,"9,8","9,24",247,"4,9",0,94,,
2022-01-01 17:40:00,"9,7","9,06",249,"4,7","2,8",94,,
2022-01-01 17:50:00,"9,7","9,06",251,"4,7","2,8",94,,
2022-01-01 18:00:00,"9,7","9,12",253,4,"3,4",94,,
2022-01-01 18:10:00,"9,6","9,05",253,"3,9","3,2",94,,
2022-01-01 18:20:00,"9,6","9,07",255,"3,9","3,5",93,,
2022-01-01 18:30:00,"9,7","9,09",255,"3,9","3,2",94,,
2022-01-01 18:40:00,"9,6","8,99",249,4,"2,7",93,,
2022-01-01 18:50:00,"9,4","8,99",247,"3,4","2,8",93,,
2022-01-01 19:00:00,"9,6","8,92",243,4,"2,6",94,,
2022-01-01 19:10:00,"9,7","8,96",247,"3,9","3,6",93,,
2022-01-01 19:20:00,"9,6","8,87",242,"3,3","2,7",93,,
2022-01-01 19:30:00,"9,5","8,97",235,"3,1","3,6",93,,
2022-01-01 19:40:00,"9,5","8,95",223,"3,2","2,7",94,,
2022-01-01 19:50:00,"9,4",9,217,"2,5",3,94,,
2022-01-01 20:00:00,"9,4","8,96",212,"2,8",4,94,,
2022-01-01 20:10:00,"9,4","8,92",220,"3,2","2,6",94,,
2022-01-01 20:20:00,"9,4","8,91",224,"3,2","2,3",95,,
2022-01-01 20:30:00,"9,4","8,88",222,"3,5","3,5",95,,
2022-01-01 20:40:00,"9,4","8,85",219,"3,2","3,1",95,,
2022-01-01 20:50:00,"9,3","8,86",218,"3,1","2,9",95,,
2022-01-01 21:00:00,"9,3","8,91",231,"3,8","2,2",95,,
2022-01-01 21:10:00,"9,3","8,84",232,"4,1","2,7",95,,
2022-01-01 21:20:00,"9,3","8,88",232,"4,2","2,9",94,,
2022-01-01 21:30:00,"9,1","8,78",232,"3,9","2,5",93,,
2022-01-01 21:40:00,"9,1","8,75",233,"3,9",3,93,,
2022-01-01 21:50:00,"9,1","8,7",227,"3,6",3,94,,
2022-01-01 22:00:00,9,"8,67",207,"3,2","2,8",94,,
2022-01-01 22:10:00,"8,9","8,61",211,"3,3","3,1",95,,
2022-01-01 22:20:00,"8,8","8,56",213,"3,3","2,7",96,,
2022-01-01 22:30:00,"8,8","8,65",217,"3,3","3,2",96,,
2022-01-01 22:40:00,"8,8","8,61",223,"3,6","3,3",96,,
2022-01-01 22:50:00,"8,7","8,52",224,"3,2","2,9",97,,
2022-01-01 23:00:00,"8,7","8,45",230,"3,1","2,8",97,,
2022-01-01 23:10:00,"8,7","8,37",223,3,"1,8",97,,
2022-01-01 23:20:00,"8,8","8,33",219,"3,9","2,8",97,,
2022-01-01 23:30:00,"8,7","8,59",219,"4,2","3,6",97,,
2022-01-01 23:40:00,"8,7","8,64",221,"3,8","2,8",97,,
2022-01-01 23:50:00,"8,7","8,66",221,"4,2","2,4",97,,
2022-01-02 00:00:00,"8,7","8,63",222,"3,8","3,2",97,,
2022-01-02 00:10:00,"8,7","8,61",220,"3,4","3,1",97,,
2022-01-02 00:20:00,"8,7","8,58",216,"2,9","2,8",97,,
2022-01-02 00:30:00,"8,7","8,62",217,"3,3",0,97,,
2022-01-02 00:40:00,"8,6","8,5",225,"3,1","2,2",98,,
2022-01-02 00:50:00,"8,6","8,5",221,3,"2,3",98,,
2022-01-02 01:00:00,"8,6","8,58",227,"2,7","3,1",98,,
2022-01-02 01:10:00,"8,6","8,59",232,"2,7","2,8",98,,
2022-01-02 01:20:00,"8,5","8,66",228,"2,6","2,4",98,,
2022-01-02 01:30:00,"8,6","8,53",227,"2,8","2,4",98,,
2022-01-02 01:40:00,"8,5","8,68",231,"2,5","2,9",98,,
2022-01-02 01:50:00,"8,4","8,49",225,"2,2","1,8",98,,
2022-01-02 02:00:00,"8,4","8,43",216,"2,2","2,5",98,,
2022-01-02 02:10:00,"8,5","8,44",220,"2,4","2,6",98,,
2022-01-02 02:20:00,"8,5","8,37",219,"2,3","0,7",98,,
2022-01-02 02:30:00,"8,5","8,09",202,"1,9","0,6",98,,
2022-01-02 02:40:00,"8,5","7,84",196,"2,3",0,98,,
2022-01-02 02:50:00,"8,5","7,72",191,"2,4",1,98,,
2022-01-02 03:00:00,"8,5","7,95",195,"2,4",0,98,,
2022-01-02 03:10:00,"8,4","8,02",200,"2,4","0,1",98,,
2022-01-02 03:20:00,"8,4","7,93",203,"2,4",0,98,,
2022-01-02 03:30:00,"8,4","7,84",210,2,0,98,,
2022-01-02 03:40:00,"8,3","7,6",199,"1,8",0,98,,
2022-01-02 03:50:00,"8,3","7,55",216,"1,6","0,4",98,,
2022-01-02 04:00:00,"8,1","7,6",233,"1,8",0,98,,
2022-01-02 04:10:00,"8,1","7,78",232,"1,2",1,98,,
2022-01-02 04:20:00,"8,2","7,72",212,"0,8","0,6",98,,
2022-01-02 04:30:00,"8,3","7,54",217,"0,5","0,5",98,,
2022-01-02 04:40:00,"8,2","7,42",0,0,"0,5",98,,
2022-01-02 04:50:00,8,"7,42",171,"1,3",1,98,,
2022-01-02 05:00:00,"8,1","7,51",176,"1,6","0,8",98,,
2022-01-02 05:10:00,"8,1","7,42",175,"1,4",0,98,,
2022-01-02 05:20:00,"8,1","7,3",172,"0,9","0,3",98,,
2022-01-02 05:30:00,8,"7,16",169,"0,8","0,6",98,,
2022-01-02 05:40:00,"8,1","7,22",164,"0,7","0,6",98,,
2022-01-02 05:50:00,"8,1","7,13",0,0,"0,6",98,,
2022-01-02 06:00:00,8,"7,24",0,0,"0,8",98,,
2022-01-02 06:10:00,"7,9","7,18",0,0,"1,2",98,,
2022-01-02 06:20:00,"7,7","6,8",0,0,"1,1",98,,
2022-01-02 06:30:00,"7,5","6,73",224,"0,6","2,6",98,,
2022-01-02 06:40:00,"6,9","6,9",267,"1,5","2,4",98,,
2022-01-02 06:50:00,"7,1","6,53",269,"1,2","1,9",98,,
2022-01-02 07:00:00,"6,6","6,26",260,"1,3","2,1",98,,
2022-01-02 07:10:00,"6,3","6,22",247,"1,2","2,3",98,,
2022-01-02 07:20:00,"6,1","6,14",0,0,"1,7",98,,
2022-01-02 07:30:00,"6,1","6,18",272,1,"2,1",98,,
2022-01-02 07:40:00,"5,8","6,3",269,"1,4","1,3",98,,
2022-01-02 07:50:00,"5,7","6,47",282,"1,3","2,1",98,,
2022-01-02 08:00:00,"6,1","6,81",258,"1,6","2,4",98,,
2022-01-02 08:10:00,"6,3","6,88",231,1,"1,8",99,,
2022-01-02 08:20:00,"6,8",7,207,"0,9","0,5",99,,
2022-01-02 08:30:00,"6,9","7,22",0,0,"1,1",99,,
2022-01-02 08:40:00,"7,1","7,66",0,0,"2,3",99,,
2022-01-02 08:50:00,"7,3","7,98",327,"0,6",3,99,,
2022-01-02 09:00:00,"7,6","7,94",268,"1,2","1,4",99,,
2022-01-02 09:10:00,"7,8","8,01",234,1,1,99,,
2022-01-02 09:20:00,"8,2","8,68",230,1,1,99,,
2022-01-02 09:30:00,"8,6","9,49",224,"0,6","0,6",99,,
2022-01-02 09:40:00,"8,8","9,89",208,"0,5","2,6",98,,
2022-01-02 09:50:00,"8,9","9,81",218,"1,1",3,98,,
2022-01-02 10:00:00,"9,2","10,38",237,"1,6","2,3",97,,
2022-01-02 10:10:00,"9,4","11,2",234,"1,9","1,5",93,,
2022-01-02 10:20:00,"9,8","11,81",220,"1,6","2,6",90,,
2022-01-02 10:30:00,"10,5","13,16",227,"1,8","3,3",86,,
2022-01-02 10:40:00,"10,6","13,86",217,2,"2,8",81,,
2022-01-02 10:50:00,"10,4","12,74",211,"2,1","2,9",82,,
2022-01-02 11:00:00,"10,3","11,53",198,"2,5","4,5",83,,
2022-01-02 11:10:00,"10,5","11,32",207,"3,5","3,2",81,,
2022-01-02 11:20:00,"10,5","11,41",212,"3,7",0,81,,
2022-01-02 11:30:00,"10,3","11,08",223,"3,8","3,5",84,,
2022-01-02 11:40:00,"10,3","10,65",219,3,4,84,,
2022-01-02 11:50:00,"10,4","10,45",227,"3,1",3,83,,
2022-01-02 12:00:00,"10,4","10,47",230,"3,1","3,1",82,,
2022-01-02 12:10:00,"10,3","10,45",227,"3,1","3,9",83,,
2022-01-02 12:20:00,"10,5","10,46",235,"2,5","3,7",84,,
2022-01-02 12:30:00,"10,8","10,85",248,"2,8","4,5",81,,
2022-01-02 12:40:00,"10,9","10,99",245,"3,9","4,9",79,,
2022-01-02 12:50:00,11,"11,01",251,"3,6","3,6",80,,
2022-01-02 13:00:00,"11,1","11,25",246,"3,2","4,5",80,,
2022-01-02 13:10:00,11,"11,14",244,"3,3","3,1",79,,
2022-01-02 13:20:00,"10,9","10,79",231,"2,7","3,4",80,,
2022-01-02 13:30:00,"10,7","10,46",221,"2,6","2,8",79,,
2022-01-02 13:40:00,"10,9","10,29",203,"2,5","2,5",78,,
2022-01-02 13:50:00,"10,8","9,96",204,"2,9","2,4",79,,
2022-01-02 14:00:00,"10,6","10,02",203,"2,8",4,80,,
2022-01-02 14:10:00,"10,2","9,87",211,"2,5","3,8",82,,
2022-01-02 14:20:00,"10,4","9,86",224,"3,5","4,4",79,,
2022-01-02 14:30:00,"10,3","9,77",236,4,"3,9",79,,
2022-01-02 14:40:00,"10,2","9,66",224,"3,1","3,7",79,,
2022-01-02 14:50:00,10,"9,51",210,"2,3","3,8",80,,
2022-01-02 15:00:00,10,"9,43",223,"3,1","3,8",79,,
2022-01-02 15:10:00,"9,8","9,14",225,3,"1,4",79,,
2022-01-02 15:20:00,"9,7","9,11",206,"2,7","2,8",80,,
2022-01-02 15:30:00,"9,7","9,08",195,2,"2,5",80,,
2022-01-02 15:40:00,"9,6",9,213,2,"3,2",81,,
2022-01-02 15:50:00,"9,4","8,49",222,"2,2","1,3",81,,
2022-01-02 16:00:00,"9,2","8,03",210,"2,6",2,82,,
2022-01-02 16:10:00,"9,3","7,71",205,"2,4","1,2",81,,
2022-01-02 16:20:00,"9,2","7,3",217,"2,3",1,80,,
2022-01-02 16:30:00,"8,6","6,92",227,"2,1","0,6",83,,
2022-01-02 16:40:00,"8,7","6,5",231,"2,1","2,1",82,,
2022-01-02 16:50:00,"8,9","6,61",217,"2,3","1,7",81,,
2022-01-02 17:00:00,9,"6,65",219,2,"2,5",80,,
2022-01-02 17:10:00,"8,6","6,92",214,"1,8","2,9",82,,
2022-01-02 17:20:00,"8,4","7,6",204,"1,5","3,9",83,,
2022-01-02 17:30:00,8,8,193,"1,3",3,85,,
2022-01-02 17:40:00,"7,8","8,09",215,"0,5","2,4",87,,
2022-01-02 17:50:00,"7,6","8,23",224,"1,5","2,9",86,,
2022-01-02 18:00:00,"7,5","8,18",231,"1,9","1,9",87,,
2022-01-02 18:10:00,"7,2","7,26",260,"1,8","2,1",87,,
2022-01-02 18:20:00,"7,4","7,35",251,"1,4","2,3",88,,
2022-01-02 18:30:00,"7,6","7,37",233,"2,4","1,9",87,,
2022-01-02 18:40:00,"7,9","7,52",231,"3,1","2,4",87,,
2022-01-02 18:50:00,"8,3","7,18",195,"1,9","1,4",84,,
2022-01-02 19:00:00,"8,3","6,91",192,"2,3","0,6",84,,
2022-01-02 19:10:00,"8,3","6,77",190,"2,2","0,9",84,,
2022-01-02 19:20:00,"7,9","6,62",192,"2,4",3,85,,
2022-01-02 19:30:00,8,"7,19",191,"3,1","3,2",85,,
2022-01-02 19:40:00,"7,9","7,96",192,3,4,85,,
2022-01-02 19:50:00,"7,5","8,3",203,"2,5","5,5",86,,
2022-01-02 20:00:00,"7,4","7,84",229,"1,9",4,87,,
2022-01-02 20:10:00,"7,4","7,31",233,"2,3","2,9",88,,
2022-01-02 20:20:00,"7,2","6,83",218,"2,6",2,87,,
2022-01-02 20:30:00,"7,4","5,9",207,"2,7","1,5",87,,
2022-01-02 20:40:00,"6,8","5,62",229,"1,7","1,8",86,,
2022-01-02 20:50:00,"6,5","4,69",356,1,"1,7",89,,
2022-01-02 21:00:00,6,"4,33",0,0,"1,7",89,,
2022-01-02 21:10:00,"6,2","4,4",0,0,0,91,,
2022-01-02 21:20:00,"6,2","4,13",0,0,"1,6",90,,
2022-01-02 21:30:00,"6,2","4,25",188,1,"2,8",90,,
2022-01-02 21:40:00,6,"3,62",212,"1,7","1,8",89,,
2022-01-02 21:50:00,"7,4","5,03",240,"5,4","5,4",83,,
2022-01-02 22:00:00,"9,4","6,08",253,"7,6","3,9",73,,
2022-01-02 22:10:00,"10,1","6,45",252,9,"4,7",69,,
2022-01-02 22:20:00,"10,4","6,46",251,"9,8","3,5",67,,
2022-01-02 22:30:00,"10,4","6,41",254,"9,6","4,4",67,,
2022-01-02 22:40:00,"10,7","7,25",252,"9,8","4,4",65,,
2022-01-02 22:50:00,"10,7",8,250,10,"6,6",65,,
2022-01-02 23:00:00,"10,9","8,3",247,"10,4","7,2",64,15.0,
2022-01-02 23:10:00,"10,8","8,6",248,11,"6,5",64,,
2022-01-02 23:20:00,"10,6","8,56",245,"11,2",7,66,,
2022-01-02 23:30:00,"10,4","8,55",247,"11,4","7,6",66,,
2022-01-02 23:40:00,"10,3","8,46",244,"10,6","2,5",67,,
2022-01-02 23:50:00,"9,8","8,23",240,"10,4","8,8",69,,
2022-01-03 00:00:00,"9,7","8,2",240,"9,6","7,4",70,15.0,
2022-01-03 00:10:00,"9,7","8,27",240,"9,8",7,71,,
2022-01-03 00:20:00,"9,6","8,18",236,"9,4","6,7",71,,
2022-01-03 00:30:00,"9,4","8,11",237,"8,8",7,72,,
2022-01-03 00:40:00,"9,4","8,29",234,"8,7","7,4",72,,
2022-01-03 00:50:00,"9,3","7,99",234,"9,4","6,4",73,,
2022-01-03 01:00:00,"9,3","8,12",235,"9,1","8,3",73,,
2022-01-03 01:10:00,"9,3","8,25",236,"9,5","7,3",73,,
2022-01-03 01:20:00,9,"8,12",235,"8,1","7,3",75,,
2022-01-03 01:30:00,"9,2","8,09",235,"8,5","6,6",75,,
2022-01-03 01:40:00,"9,1","8,35",231,8,"8,9",75,,
2022-01-03 01:50:00,"9,1","8,45",230,"7,6","8,5",75,,
2022-01-03 02:00:00,"8,9","8,39",228,"7,6","8,3",75,,
2022-01-03 02:10:00,9,"8,5",231,"7,6","8,1",75,,
2022-01-03 02:20:00,"9,1","8,47",232,"7,2","6,6",75,,
2022-01-03 02:30:00,"9,2","8,59",230,"7,4","8,1",74,,
2022-01-03 02:40:00,"9,1","8,54",230,"6,9","7,9",74,,
2022-01-03 02:50:00,"8,9","8,4",231,"6,7","7,7",75,,
2022-01-03 03:00:00,"8,6","8,03",233,"6,4",6,76,,
2022-01-03 03:10:00,"8,7","7,84",233,"6,6","6,4",76,,
2022-01-03 03:20:00,"8,7","7,78",236,"7,1","5,4",76,,
2022-01-03 03:30:00,"8,8","7,82",231,"6,9","5,8",76,,
2022-01-03 03:40:00,9,"8,03",228,"7,2","6,7",75,,
2022-01-03 03:50:00,"9,2","8,36",226,7,"5,4",74,,
2022-01-03 04:00:00,"9,4","8,49",226,"7,5","6,4",73,,
2022-01-03 04:10:00,"9,5","8,34",226,"7,6","4,4",73,,
2022-01-03 04:20:00,"9,5","8,18",226,8,"5,1",73,,
2022-01-03 04:30:00,"9,5","8,08",227,"8,1","4,7",72,,
2022-01-03 04:40:00,"9,6","8,06",228,8,"5,7",72,,
2022-01-03 04:50:00,"9,6","8,18",227,"7,6","4,8",72,,
2022-01-03 05:00:00,"9,6","8,51",227,"7,7",6,72,,
2022-01-03 05:10:00,"9,6","8,71",226,"7,9","6,6",73,,
2022-01-03 05:20:00,"9,7","9,02",229,"7,9","8,4",72,,
2022-01-03 05:30:00,"9,8","9,02",229,"8,2",4,72,,
2022-01-03 05:40:00,"9,4","9,06",229,"8,3","6,4",77,,
2022-01-03 05:50:00,"9,2","8,82",229,"8,7",9,78,,
2022-01-03 06:00:00,"8,9","8,63",233,"8,5","7,4",82,,
2022-01-03 06:10:00,"8,5","8,51",232,"6,5","8,7",85,,
2022-01-03 06:20:00,"8,4","8,21",227,"4,7",6,86,,
2022-01-03 06:30:00,"8,3","8,03",226,"5,1","5,4",86,,
2022-01-03 06:40:00,"8,6","7,89",224,"6,5","6,2",84,,
2022-01-03 06:50:00,"8,6","8,05",229,"6,9",6,85,,
2022-01-03 07:00:00,"8,6","8,04",234,"8,7","6,4",85,,
2022-01-03 07:10:00,"8,6","7,96",232,"8,1","6,3",85,,
2022-01-03 07:20:00,"8,6","7,87",234,"6,8","6,8",85,,
2022-01-03 07:30:00,"8,9","7,93",232,"7,5","5,8",83,,
2022-01-03 07:40:00,"8,7","8,11",232,"8,5","6,5",85,,
2022-01-03 07:50:00,"8,9","8,16",233,"9,1","5,3",83,,
2022-01-03 08:00:00,"9,1","8,23",233,"10,2","8,9",82,,
2022-01-03 08:10:00,"9,2","8,23",235,"10,7","9,3",81,,
2022-01-03 08:20:00,"9,2","8,38",237,"9,5","8,9",81,,
2022-01-03 08:30:00,"9,3","8,39",235,"10,1","10,4",78,,
2022-01-03 08:40:00,"9,3","8,56",238,"9,3","7,4",79,,
2022-01-03 08:50:00,"9,4","8,61",237,10,"6,9",77,,
2022-01-03 09:00:00,"9,4","8,76",241,"9,9","7,8",77,,
2022-01-03 09:10:00,"9,3","8,73",242,"9,8","8,8",75,,
2022-01-03 09:20:00,"9,6","8,6",238,"10,7","7,9",75,,
2022-01-03 09:30:00,"9,6","9,04",241,"9,7","9,2",76,,
2022-01-03 09:40:00,"9,9","9,58",233,"10,3","3,1",76,,
2022-01-03 09:50:00,10,"10,96",233,"9,4","10,2",75,,
2022-01-03 10:00:00,"9,6","10,63",230,"8,8","5,9",77,,
2022-01-03 10:10:00,10,"10,19",230,"8,5","7,8",76,,
2022-01-03 10:20:00,"9,8","11,01",236,"8,9","9,2",74,,
2022-01-03 10:30:00,"9,6","9,92",240,"10,9",9,77,,
2022-01-03 10:40:00,"9,5","9,4",237,"10,3","7,9",77,,
2022-01-03 10:50:00,"9,7","9,24",237,"10,8",9,76,,
2022-01-03 11:00:00,"9,7","9,52",236,"10,1",7,78,,
2022-01-03 11:10:00,"9,9","10,2",233,"10,5","7,9",76,,
2022-01-03 11:20:00,"9,5","10,19",240,"10,2","8,6",76,,
2022-01-03 11:30:00,"9,4","9,55",234,"11,2","10,1",79,,
2022-01-03 11:40:00,"9,7","9,6",235,"10,6","8,9",78,,
2022-01-03 11:50:00,10,"10,58",242,"9,5","3,2",75,,
2022-01-03 12:00:00,"10,1","11,13",243,"11,5","9,3",71,,
2022-01-03 12:10:00,"10,2",11,244,"10,2","6,6",68,,
2022-01-03 12:20:00,"10,5","11,31",244,"10,7","6,5",66,,
2022-01-03 12:30:00,"10,5","11,38",237,"9,7","6,6",66,,
2022-01-03 12:40:00,"10,1","10,84",235,"8,7","9,6",66,,
2022-01-03 12:50:00,"9,3","10,08",227,"8,5","9,7",72,,
2022-01-03 13:00:00,"9,1","9,64",222,8,"8,9",72,,
2022-01-03 13:10:00,"8,9","9,13",224,"8,5","9,2",73,,
2022-01-03 13:20:00,"8,8","8,53",223,"8,7","11,7",72,,
2022-01-03 13:30:00,"8,8","8,18",228,"9,1","7,7",73,,
2022-01-03 13:40:00,"8,9","8,13",235,"9,6","10,9",71,,
2022-01-03 13:50:00,"8,5","8,17",231,"7,9","6,7",74,,
2022-01-03 14:00:00,"8,8","7,92",237,9,"7,2",71,,
2022-01-03 14:10:00,"8,5","7,87",238,"7,8","6,9",73,,
2022-01-03 14:20:00,9,"7,68",247,"9,5","6,4",67,,
2022-01-03 14:30:00,"9,1","8,07",254,"9,7","6,9",68,,
2022-01-03 14:40:00,"8,9","8,3",248,"8,9","6,8",67,,
2022-01-03 14:50:00,"9,1","8,13",244,"9,4","7,8",67,,
2022-01-03 15:00:00,"9,1","8,43",246,"9,7","6,5",66,,
2022-01-03 15:10:00,9,"8,4",247,"9,8","6,6",67,,
2022-01-03 15:20:00,"8,9","8,15",247,10,9,68,,
2022-01-03 15:30:00,"8,8","8,13",248,"8,1","5,6",68,,
2022-01-03 15:40:00,9,"8,07",247,"9,7","6,9",68,,
2022-01-03 15:50:00,"9,1","7,88",247,"9,4","7,2",67,,
2022-01-03 16:00:00,9,8,248,"8,9","6,5",68,,
